"lot_id","avg_price","max_price","min_price","avg_occupancy_rate","total_updates","price_volatility","time","diff"
"BHMEURBRD01","20.0","20.0","20.0","0.24893617021276596","1","0.0","1751867899912","1"
"BHMNCPNST01","20.0","20.0","20.0","0.51340206185567","1","0.0","1751867899912","1"
"BHMBCCTHL01","20.0","20.0","20.0","0.31007751937984496","1","0.0","1751867899912","1"
"Others-CCCPS105a","20.0","20.0","20.0","0.35291189646590343","1","0.0","1751867899912","1"
"Others-CCCPS119a","20.0","20.0","20.0","0.06956831965750981","1","0.0","1751867899912","1"
"BHMBCCMKT01","20.0","20.0","20.0","0.10571923743500866","1","0.0","1751867899912","1"
"BHMNCPHST01","20.0","20.0","20.0","0.1975","1","0.0","1751867899912","1"
"Shopping","20.0","20.0","20.0","0.31979166666666664","1","0.0","1751867899912","1"
"BHMMBMMBX01","20.0","20.0","20.0","0.38427947598253276","1","0.0","1751867899912","1"
"Others-CCCPS8","20.0","20.0","20.0","0.33661119515885024","1","0.0","1751867899912","1"
"Broad Street","20.0","20.0","20.0","0.2579710144927536","1","0.0","1751867899912","1"
"Others-CCCPS135a","20.0","20.0","20.0","0.27839299510687615","1","0.0","1751867899926","1"
