"SystemCodeNumber","Timestamp","Occupancy","Capacity","t","occupancy_rate","price","price_change_factor","pricing_model","time","diff"
"BHMNCPHST01","2016-10-04 07:59:00","237","1200","2016-10-04T07:59:00.000000000","0.1975","20.0","0.009875000000000002","Model1_Baseline","1751867899912","1"
"BHMNCPNST01","2016-10-04 07:59:00","249","485","2016-10-04T07:59:00.000000000","0.51340206185567","20.0","0.025670103092783503","Model1_Baseline","1751867899912","1"
"BHMBCCTHL01","2016-10-04 07:59:00","120","387","2016-10-04T07:59:00.000000000","0.31007751937984496","20.0","0.015503875968992248","Model1_Baseline","1751867899912","1"
"BHMEURBRD01","2016-10-04 07:59:00","117","470","2016-10-04T07:59:00.000000000","0.24893617021276596","20.0","0.0124468085106383","Model1_Baseline","1751867899912","1"
"BHMMBMMBX01","2016-10-04 07:59:00","264","687","2016-10-04T07:59:00.000000000","0.38427947598253276","20.0","0.01921397379912664","Model1_Baseline","1751867899912","1"
"BHMBCCMKT01","2016-10-04 07:59:00","61","577","2016-10-04T07:59:00.000000000","0.10571923743500866","20.0","0.005285961871750434","Model1_Baseline","1751867899912","1"
"Shopping","2016-10-04 07:59:00","614","1920","2016-10-04T07:59:00.000000000","0.31979166666666664","20.0","0.01598958333333333","Model1_Baseline","1751867899912","1"
"Others-CCCPS8","2016-10-04 07:59:00","445","1322","2016-10-04T07:59:00.000000000","0.33661119515885024","20.0","0.016830559757942513","Model1_Baseline","1751867899912","1"
"Others-CCCPS105a","2016-10-04 07:59:00","709","2009","2016-10-04T07:59:00.000000000","0.35291189646590343","20.0","0.017645594823295172","Model1_Baseline","1751867899912","1"
"Broad Street","2016-10-04 07:59:00","178","690","2016-10-04T07:59:00.000000000","0.2579710144927536","20.0","0.012898550724637681","Model1_Baseline","1751867899912","1"
"Others-CCCPS119a","2016-10-04 07:59:00","195","2803","2016-10-04T07:59:00.000000000","0.06956831965750981","20.0","0.003478415982875491","Model1_Baseline","1751867899912","1"
"Others-CCCPS135a","2016-10-04 07:59:00","1081","3883","2016-10-04T07:59:00.000000000","0.27839299510687615","20.0","0.013919649755343808","Model1_Baseline","1751867899926","1"
"BHMEURBRD01","2016-10-04 08:25:00","174","470","2016-10-04T08:25:00.000000000","0.3702127659574468","20.0","0.01851063829787234","Model1_Baseline","1751867901128","1"
"Shopping","2016-10-04 08:59:00","958","1920","2016-10-04T08:59:00.000000000","0.49895833333333334","20.0","0.024947916666666667","Model1_Baseline","1751867901128","1"
"Broad Street","2016-10-04 08:59:00","415","690","2016-10-04T08:59:00.000000000","0.6014492753623188","20.0","0.030072463768115943","Model1_Baseline","1751867901128","1"
