"vehicle_type","avg_price","avg_demand","count","time","diff"
"Truck","11.44002928325844","0.18237261698440208","3","1751867899912","1"
"Car","11.241524093802562","0.15711215647437482","42","1751867899912","1"
"Bike","10.969289469943924","0.12194665896399","18","1751867899912","1"
"Bike","10.969289469943924","0.12194665896399","18","1751867899914","-1"
"Bike","10.977998307602602","0.12304460457903858","19","1751867899914","1"
"Car","11.241524093802562","0.15711215647437482","42","1751867899916","-1"
"Bike","10.977998307602602","0.12304460457903858","19","1751867899916","-1"
"Car","11.242047986402397","0.15716399983878118","43","1751867899916","1"
"Bike","10.984205005375781","0.12382478336221839","20","1751867899916","1"
"Car","11.242047986402397","0.15716399983878118","43","1751867899926","-1"
"Bike","10.984205005375781","0.12382478336221839","20","1751867899926","-1"
"Car","11.244792693610213","0.15752848315876716","46","1751867899926","1"
"Bike","11.018177157343947","0.12818915573161674","21","1751867899926","1"
"Truck","11.44002928325844","0.18237261698440208","3","1751867901128","-1"
"Bike","11.018177157343947","0.12818915573161674","21","1751867901128","-1"
"Car","11.244792693610213","0.15752848315876716","46","1751867901128","-1"
"Car","11.337022451388593","0.1701910764576628","112","1751867901128","1"
"Truck","11.654573947187185","0.21072569324090124","18","1751867901128","1"
"Bike","11.186936722591817","0.15127087009610843","44","1751867901128","1"
"Car","11.337022451388593","0.1701910764576628","112","1751867901150","-1"
"Truck","11.654573947187185","0.21072569324090124","18","1751867901150","-1"
"Truck","11.636536403450629","0.20834416218188456","19","1751867901150","1"
"Car","11.337494411679957","0.17022649100003043","114","1751867901150","1"
"Car","11.337494411679957","0.17022649100003043","114","1751867901154","-1"
"Car","11.335869072084744","0.17000562316328838","115","1751867901154","1"
"Car","11.335869072084744","0.17000562316328838","115","1751867901158","-1"
"Car","11.338542916786652","0.17033948821191655","116","1751867901158","1"
"Truck","11.636536403450629","0.20834416218188456","19","1751867901174","-1"
"Bike","11.186936722591817","0.15127087009610843","44","1751867901174","-1"
"Car","11.338542916786652","0.17033948821191655","116","1751867901174","-1"
"Car","11.32110412892681","0.16808847013675488","119","1751867901174","1"
"Bike","11.17999114087205","0.1503478856152513","45","1751867901174","1"
"Truck","11.637185591648246","0.20838639948006935","20","1751867901174","1"
"Truck","11.637185591648246","0.20838639948006935","20","1751867901866","-1"
"Bike","11.17999114087205","0.1503478856152513","45","1751867901866","-1"
"Car","11.32110412892681","0.16808847013675488","119","1751867901866","-1"
"Car","11.37434702073552","0.17511419232991166","195","1751867901866","1"
"Truck","11.638494444303724","0.208844504621606","30","1751867901866","1"
"Bike","11.243994995099309","0.1585037449451184","60","1751867901866","1"
"Truck","11.638494444303724","0.208844504621606","30","1751867902588","-1"
"Bike","11.243994995099309","0.1585037449451184","60","1751867902588","-1"
"Car","11.37434702073552","0.17511419232991166","195","1751867902588","-1"
"Car","11.393951259186897","0.17771261455671017","257","1751867902588","1"
"Truck","11.795143623545425","0.23083922588099368","39","1751867902588","1"
"Bike","11.24932901805504","0.15907082628820224","82","1751867902588","1"
"Truck","11.795143623545425","0.23083922588099368","39","1751867903732","-1"
"Bike","11.24932901805504","0.15907082628820224","82","1751867903732","-1"
"Car","11.393951259186897","0.17771261455671017","257","1751867903732","-1"
"Car","11.551318632339127","0.19907287568888515","378","1751867903732","1"
"Truck","11.917861576880174","0.24768037489738218","57","1751867903732","1"
"Bike","11.38534642905085","0.17733093319120868","113","1751867903732","1"
"Truck","11.917861576880174","0.24768037489738218","57","1751867904994","-1"
"Bike","11.38534642905085","0.17733093319120868","113","1751867904994","-1"
"Car","11.551318632339127","0.19907287568888515","378","1751867904994","-1"
"Car","11.544171730623276","0.19832466427578643","505","1751867904994","1"
"Truck","11.93472276201563","0.2501898352365804","73","1751867904994","1"
"Bike","11.400449915248974","0.17964421561973548","143","1751867904994","1"
"Bike","11.400449915248974","0.17964421561973548","143","1751867905050","-1"
"Truck","11.93472276201563","0.2501898352365804","73","1751867905050","-1"
"Car","11.544171730623276","0.19832466427578643","505","1751867905050","-1"
"Car","11.536376889487991","0.1972680563827012","518","1751867905050","1"
"Bike","11.397388039432807","0.17921333741707993","145","1751867905050","1"
"Truck","11.912514736369785","0.2470826012087278","78","1751867905050","1"
"Bike","11.397388039432807","0.17921333741707993","145","1751867906136","-1"
"Truck","11.912514736369785","0.2470826012087278","78","1751867906136","-1"
"Car","11.536376889487991","0.1972680563827012","518","1751867906136","-1"
"Car","11.519182462629018","0.19495582958293747","620","1751867906136","1"
"Bike","11.376961122522804","0.17677661617005275","166","1751867906136","1"
"Truck","11.86200669612177","0.24067772862843098","86","1751867906136","1"
"Truck","11.86200669612177","0.24067772862843098","86","1751867906916","-1"
"Bike","11.376961122522804","0.17677661617005275","166","1751867906916","-1"
"Car","11.519182462629018","0.19495582958293747","620","1751867906916","-1"
"Car","11.551939086727062","0.19949430223958664","696","1751867906916","1"
"Truck","11.862489800506092","0.2408969887348354","100","1751867906916","1"
"Bike","11.452607590621966","0.18719778814021848","181","1751867906916","1"
"Bike","11.452607590621966","0.18719778814021848","181","1751867908014","-1"
"Truck","11.862489800506092","0.2408969887348354","100","1751867908014","-1"
"Car","11.551939086727062","0.19949430223958664","696","1751867908014","-1"
"Car","11.548710420061061","0.19904041296225464","770","1751867908014","1"
"Bike","11.42308955909786","0.18344016085881099","206","1751867908014","1"
"Truck","11.836627837853689","0.23733313770285175","110","1751867908014","1"
"Bike","11.42308955909786","0.18344016085881099","206","1751867908812","-1"
"Truck","11.836627837853689","0.23733313770285175","110","1751867908812","-1"
"Car","11.548710420061061","0.19904041296225464","770","1751867908812","-1"
"Car","11.540344551064754","0.1979643339014856","847","1751867908812","1"
"Truck","11.801878164838232","0.23262122477333597","121","1751867908812","1"
"Bike","11.428172399024218","0.18413423284302835","234","1751867908812","1"
"Truck","11.801878164838232","0.23262122477333597","121","1751867909596","-1"
"Bike","11.428172399024218","0.18413423284302835","234","1751867909596","-1"
"Car","11.540344551064754","0.1979643339014856","847","1751867909596","-1"
"Car","11.546072715768405","0.19871127481817516","938","1751867909596","1"
"Bike","11.408894404521721","0.1814089678637164","260","1751867909596","1"
"Truck","11.806855264364048","0.23328988480471421","127","1751867909596","1"
"Truck","11.806855264364048","0.23328988480471421","127","1751867910476","-1"
"Bike","11.408894404521721","0.1814089678637164","260","1751867910476","-1"
"Car","11.546072715768405","0.19871127481817516","938","1751867910476","-1"
"Car","11.6308394570143","0.21008539507434393","1020","1751867910476","1"
"Truck","11.940119034432142","0.251839808015262","140","1751867910476","1"
"Bike","11.508332601420648","0.1946911726518055","286","1751867910476","1"
"Truck","11.940119034432142","0.251839808015262","140","1751867912634","-1"
"Bike","11.508332601420648","0.1946911726518055","286","1751867912634","-1"
"Car","11.6308394570143","0.21008539507434393","1020","1751867912634","-1"
"Car","11.783287592507692","0.23077236382878197","1177","1751867912634","1"
"Truck","12.186350492308216","0.2868482467211706","171","1751867912634","1"
"Bike","11.671195953350828","0.2163955561782116","338","1751867912634","1"
"Truck","12.186350492308216","0.2868482467211706","171","1751867914082","-1"
"Bike","11.671195953350828","0.2163955561782116","338","1751867914082","-1"
"Car","11.783287592507692","0.23077236382878197","1177","1751867914082","-1"
"Car","11.89881159156837","0.24684569442545773","1307","1751867914082","1"
"Truck","12.25328717464581","0.2964291350131464","193","1751867914082","1"
"Bike","11.768316791460398","0.22972829199950456","380","1751867914082","1"
"Truck","12.25328717464581","0.2964291350131464","193","1751867915138","-1"
"Bike","11.768316791460398","0.22972829199950456","380","1751867915138","-1"
"Car","11.89881159156837","0.24684569442545773","1307","1751867915138","-1"
"Car","11.975142846104431","0.25733161098608204","1423","1751867915138","1"
"Truck","12.330424264009716","0.30698680599565537","210","1751867915138","1"
"Bike","11.837188271411884","0.23934641797586462","405","1751867915138","1"
"Truck","12.330424264009716","0.30698680599565537","210","1751867917496","-1"
"Bike","11.837188271411884","0.23934641797586462","405","1751867917496","-1"
"Car","11.975142846104431","0.25733161098608204","1423","1751867917496","-1"
"Car","12.132835313146444","0.2796387265079055","1606","1751867917496","1"
"Truck","12.48715513207865","0.3300803252491205","239","1751867917496","1"
"Bike","11.973888270846365","0.2587664741341791","452","1751867917496","1"
"Truck","12.48715513207865","0.3300803252491205","239","1751867919432","-1"
"Bike","11.973888270846365","0.2587664741341791","452","1751867919432","-1"
"Car","12.132835313146444","0.2796387265079055","1606","1751867919432","-1"
"Car","12.259029906256604","0.2974002493506379","1806","1751867919432","1"
"Truck","12.600088820638792","0.3465592381985249","264","1751867919432","1"
"Bike","12.119782416462764","0.2792613001864082","508","1751867919432","1"
"Truck","12.600088820638792","0.3465592381985249","264","1751867921876","-1"
"Bike","12.119782416462764","0.2792613001864082","508","1751867921876","-1"
"Car","12.259029906256604","0.2974002493506379","1806","1751867921876","-1"
"Car","12.304620331486632","0.3035110752860061","2032","1751867921876","1"
"Truck","12.641392950698238","0.35197978516651424","296","1751867921876","1"
"Bike","12.157325058102309","0.28407794910145856","562","1751867921876","1"
"Bike","12.157325058102309","0.28407794910145856","562","1751867922924","-1"
"Truck","12.641392950698238","0.35197978516651424","296","1751867922924","-1"
"Car","12.304620331486632","0.3035110752860061","2032","1751867922924","-1"
"Car","12.321952184888035","0.30578310027361805","2124","1751867922924","1"
"Truck","12.633975058195356","0.35071731425508357","312","1751867922924","1"
"Bike","12.164939745607116","0.28490312903403286","597","1751867922924","1"
"Truck","12.633975058195356","0.35071731425508357","312","1751867923822","-1"
"Bike","12.164939745607116","0.28490312903403286","597","1751867923822","-1"
"Car","12.321952184888035","0.30578310027361805","2124","1751867923822","-1"
"Car","12.344075642474136","0.30910313167349657","2211","1751867923822","1"
"Truck","12.681108809564726","0.35798334950331917","324","1751867923822","1"
"Bike","12.192850867440233","0.2890433739231163","626","1751867923822","1"
"Truck","12.681108809564726","0.35798334950331917","324","1751867924848","-1"
"Bike","12.192850867440233","0.2890433739231163","626","1751867924848","-1"
"Car","12.344075642474136","0.30910313167349657","2211","1751867924848","-1"
"Car","12.345576954458654","0.30914444212540265","2312","1751867924848","1"
"Truck","12.692169486142221","0.35926498752504515","339","1751867924848","1"
"Bike","12.204297130744068","0.2903539904938471","659","1751867924848","1"
"Truck","12.692169486142221","0.35926498752504515","339","1751867925842","-1"
"Bike","12.204297130744068","0.2903539904938471","659","1751867925842","-1"
"Car","12.345576954458654","0.30914444212540265","2312","1751867925842","-1"
"Car","12.356542814314837","0.31069047304179737","2400","1751867925842","1"
"Truck","12.720420017765058","0.36345013790034936","362","1751867925842","1"
"Bike","12.215045809675633","0.2918059134741127","681","1751867925842","1"
"Truck","12.720420017765058","0.36345013790034936","362","1751867927366","-1"
"Bike","12.215045809675633","0.2918059134741127","681","1751867927366","-1"
"Car","12.356542814314837","0.31069047304179737","2400","1751867927366","-1"
"Car","12.37674041728029","0.31351833956802727","2528","1751867927366","1"
"Truck","12.735958449837558","0.3653590547795824","385","1751867927366","1"
"Bike","12.229732899237325","0.29370040147106286","714","1751867927366","1"
"Truck","12.735958449837558","0.3653590547795824","385","1751867928342","-1"
"Bike","12.229732899237325","0.29370040147106286","714","1751867928342","-1"
"Car","12.37674041728029","0.31351833956802727","2528","1751867928342","-1"
"Car","12.400677975913487","0.31694900412656285","2625","1751867928342","1"
"Truck","12.751288384616387","0.367264197429689","402","1751867928342","1"
"Bike","12.249664942521953","0.296339027470941","737","1751867928342","1"
